,Seller Name,Seller type,BHK,Location,Total Price,price per sqft,Area_sqft,Construction status
287,Signature Avenues,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 90.98 L,"4,999 ",1820 ,Under Construction
288,Signature Avenues,BUILDER,2 BHK Apartment,"Kollur, Hyderabad", 70.98 L,"4,999 ",1420 ,Under Construction
289,Signature Avenues,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 1.09 Cr,"4,999 ",2200 ,Under Construction
290,Signature Avenues,BUILDER,2 BHK Apartment,"Kollur, Hyderabad", 69.98 L,"4,999 ",1400 ,Under Construction
291,Signature Avenues,BUILDER,2 BHK Apartment,"Kollur, Hyderabad", 81.73 L,"4,999 ",1635 ,Under Construction
292,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 52 L,"4,727 ",1100 ,Ready to move
293,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 55 L,"5,188 ",1060 ,Under Construction
294,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 52 L,"4,684 ",1110 ,Under Construction
295,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 53 L,"4,774 ",1110 ,Ready to move
296,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 53 L,"4,472 ",1185 ,Ready to move
297,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 53 L,"4,711 ",1125 ,Under Construction
298,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 37 L,"3,700 ",1000 ,Ready to move
299,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 53 L,"4,472 ",1185 ,Ready to move
300,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 37 L,"3,700 ",1000 ,Ready to move
301,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 54 L,"4,518 ",1195 ,Ready to move
302,Maaruthi Group,AGENT,2 BHK Apartment,"Bowrampet, Hyderabad", 37 L,"3,700 ",1000 ,Ready to move
303,Maaruthi Group,AGENT,2 BHK Apartment,"Bowrampet, Hyderabad", 37 L,"3,700 ",1000 ,Ready to move
304,Maaruthi Group,AGENT,2 BHK Apartment,"Bowrampet, Hyderabad", 37 L,"3,700 ",1000 ,Ready to move
305,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 52 L,"4,727 ",1100 ,Ready to move
306,Maaruthi Group,AGENT,3 BHK Villa,"Kompally, Hyderabad", 1.55 Cr,"6,141 ",2524 ,Under Construction
307,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 53 L,"4,818 ",1100 ,Ready to move
308,Maaruthi Group,AGENT,2 BHK Apartment,"Bachupally, Hyderabad", 44 L,"3,826 ",1150 ,Ready to move
309,Maaruthi Group,AGENT,3 BHK Villa,"Bowrampet, Hyderabad", 1.67 Cr,"7,046 ",2370 ,Ready to move
310,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 61 L,"5,398 ",1130 ,Ready to move
